;;Economic prosperity;Business vitality;Demographic sustainability;Tertiary attainment;Unemployment;Old-age dependency;Population Growth;productivity;gdp per capita;Net migration rate;Net migration + 1;HHI;Rate of indebtedness (per cent);Household disposable monetary income;rnd per gdp;Tertiary attainment;Unempl+S2oyment;Old-age dependency;Population Growth;productivity;gdp per capita;Net migration rate;HHI;Rate of indebtedness (per cent);Household disposable monetary income;rnd per gdp
01;2011;113.167680022068;141.836228396228;124.797088527105;0.178150204834164;0.0368869338656138;0.188252473438696;0.0109305629608649;57.1126658920784;48614;0.00176429804435986;1.00176429804436;0.0805055656144106;115.6;54560.8640770288;0.0411973001956122;130.848968769593;63.6223839072321;28.5360394035429;208.852761409807;133.268027902069;159.247497988171;137.002464767965;137.002464767963;110.577213149848;119.223625043022;166.225452145288
01;2012;118.472805448775;140.906904919617;129.203638021401;0.179049485108515;0.0404222525026566;0.190125316322395;0.0114760067085933;56.3512004517038;48536.8;0.00214189751952184;1.00214189751952;0.0831612309619508;117.2;53605.0626815177;0.0389511220868545;133.478077735872;70.7083263668875;30.0056267640077;216.604544599586;129.761021143626;158.875503142129;141.000742700609;141.000742700605;121.841763444949;122.465628841133;159.387778098364
01;2013;122.204661270155;146.54716551634;133.346320125894;0.181072777650581;0.0493959846682977;0.19244477830906;0.0118953176307652;58.3437757185138;49746.8;0.00258093326092592;1.00258093326093;0.0819253777792458;115.4;53999.2537305033;0.0382479464877943;139.393315415904;88.6946399929998;31.82566839609;222.563742722803;138.938029786291;164.705992309368;145.649549258788;145.649549258785;116.599638209992;118.818374568258;162.207767604382
01;2014;124.597817614023;146.417779574084;131.081279801868;0.181572395452629;0.0566656355167932;0.193804618719861;0.0112994670990929;58.840692911619;49522.7;0.00263816368838983;1.00263816368839;0.0801417656430586;117.2;53318.1102195062;0.0380433742008925;140.853983108214;103.265413635432;32.8927116047629;214.095584174327;141.226632606859;163.626147166906;146.255543626515;146.255543626512;109.034080812618;122.465628841133;157.334958954751
01;2015;129.22360380111;151.620578013198;129.467511157807;0.181391763425769;0.0603476847248684;0.195524671642408;0.0105233418236883;60.6968269468768;51046.2;0.0030951803444013;1.0030951803444;0.0806034579688034;118.1;54429.6029629688;0.0353556378288773;140.325892706412;110.645452466632;34.2424073300733;203.065381906722;149.775247240009;170.96726307293;151.094744236626;151.094744236622;110.992443687305;124.289255977571;165.286427869749
01;2016;129.825428193917;153.815773636858;134.096606782018;0.182193295094345;0.0573847291052333;0.197728367270079;0.0111290711805074;61.2153062854659;51914;0.00343039981248775;1.00343039981249;0.0801521560046839;121.1;54499.4965279659;0.0340704094132335;142.669226766676;104.706713929387;35.9716091061138;211.673937170766;152.163156721036;175.148832080641;154.644274069176;154.644274069173;109.07815366661;130.368013099029;165.786436990549
01;2017;128.510407138258;160.248556728773;134.14445682408;0.183293428942803;0.0491482365561263;0.200784115233894;0.0105786937989725;63.3800539300507;53512.8;0.00395621228008292;1.00395621228008;0.0808445018897461;121.4;55474.8002045933;0.0346207813951235;145.885545246668;88.1980712116343;38.3694015869857;203.852037750365;162.133122811877;182.852787519139;160.211931134888;160.211931134885;112.014881011082;130.975888811175;172.763627721662
01;2018;127.619800205039;164.020997373451;127.056534706367;0.186747766638899;0.043366223345685;0.201797221344517;0.00930162887225605;64.1866838397056;54982;0.00358702208944934;1.00358702208945;0.0812111089892002;121.1;56199.5807965185;0.0345813013873502;155.98454382185;76.6090131615726;39.164368398105;185.702539342131;165.848139140563;189.93225420055;156.302696378866;156.302696378863;113.569920359005;130.368013099029;177.948610152527
01;2019;130.266062665069;167.885077967368;137.604829282486;0.1873813786267;0.0428507597390108;0.200880616668393;0.0111913413571558;65.5682314813232;56756.6;0.00410717720339108;1.00410717720339;0.0807399576564548;123.6;56441.869619574;0.0348508221758181;157.836952915855;75.5758543909121;38.4451245905761;212.558913688652;172.21099772792;198.483317073429;161.810449568229;161.810449568226;111.571435162356;135.433644033578;179.68191165747
01;2020;146.541687163049;160.123827870394;109.923640331754;0.187590372342862;0.0670373376528034;0.201123759160569;0.00766574442586809;66.4842069744603;55424.5;0.000978458639860267;1.00097845863986;0.083258598358634;129.7;56058.0708862552;0.0364903803871717;158.447960705896;124.053719327145;38.6359142913058;162.453539596978;176.42961629506;192.064478544768;128.681467106978;128.681467106975;122.254767266404;147.793783513877;176.936267373645
01;2021;142.844805734947;159.376502334051;99.6837011205372;0.187420141000886;0.0522732004425158;0.200613970273062;0.00708472183231357;68.1043294764129;57622.9;-0.00110512316437293;0.998894876835627;0.0839648555198053;130.3;57750.7379099911;0.0377032915875552;157.950277435956;94.4615276524319;38.2358917842885;154.196113982777;183.891255737367;202.657658202007;106.619097594546;106.619097594543;125.250502147178;149.009534938169;189.045378568336
01;2022;139.545824213171;159.795897530409;122.66234411993;0.18641076078759;0.0482922137085676;0.199584197184935;0.0106675002230658;69.0801747459503;60375.8;0.000672808884770226;1.00067280888477;0.0799898502289939;129.5;55137.9231153328;0.0371430674169477;154.999283574699;86.4823196020354;37.4278466847079;205.114144334772;188.385610666697;215.922743845389;125.44504134031;125.445041340308;108.389700366144;147.388533039113;170.353654539934
02;2011;100.130917594685;101.714897120221;109.858271255734;0.162819417957823;0.0468283474274267;0.24821442712915;0.00483529;46.211763930209;33911;0.00126921751562978;1.00126921751563;0.0795957022899582;116.9;46143.4236251289;0.047135169801057;86.0283378869883;83.5482496350151;75.5871455156744;122.227450051979;83.0628119771154;88.3998267270811;131.76021819955;131.760218199546;106.717840887656;121.857753128987;106.008220417236
