Region,Year,Labour_Index,Structure_Index
1,2010,182.68129234696428,130.06976805222533
1,2011,188.56259716233976,130.19339855132608
1,2012,184.0896406160037,130.73888641346937
1,2013,173.87905704686946,131.5133716567286
1,2014,163.55332950630142,142.56148517169706
1,2015,160.5222170556516,142.5153831598393
1,2016,164.22798016744215,145.7857953613828
1,2017,175.741085258594,145.91009643724144
1,2018,187.78293411893364,147.64765319696355
1,2019,190.59830799046745,146.02811971493875
1,2020,159.27297151746012,146.8870842745154
1,2021,185.29509204608735,152.06621912902423
1,2022,199.495278897591,154.36304579965307
2,2010,119.82478198206587,112.07902146220832
2,2011,129.8574813093155,110.88072348055707
2,2012,121.68740799544291,110.01308514831642
2,2013,109.99312306215016,113.198076479207
2,2014,103.08788761036325,113.02507293907145
2,2015,99.77376395958946,115.2101694683021
2,2016,107.23822927603995,116.80034904981443
2,2017,128.51051422879516,121.76044001914477
2,2018,143.56264976259817,118.31131367363679
2,2019,142.4787542635327,117.8884486726237
2,2020,118.8949326638653,117.69644490344335
2,2021,150.15634940781345,121.23611799888306
2,2022,164.9444459068482,129.41073503858448
4,2010,96.19575660683849,91.07597375267842
4,2011,104.48551107127568,85.5273590110409
4,2012,101.36217873363198,89.97632091639541
4,2013,92.72073329114227,88.14005464372282
4,2014,82.86724019311957,91.01419541610369
4,2015,77.93334081618562,92.2126125585632
4,2016,77.62494418276032,94.81614344010904
4,2017,103.87118228439867,95.59822337591267
4,2018,112.32781401191107,93.68391095521382
4,2019,107.67903239803849,95.85010919856967
4,2020,93.1513206403528,96.06879203194327
4,2021,121.44007816860125,96.57220357006968
4,2022,131.40208359235547,103.50585792200508
5,2010,78.11880139136088,116.93766968119009
5,2011,89.29164376436383,121.39048637945355
5,2012,88.86045103037847,119.52256887758847
5,2013,76.22365469389001,122.77648893836195
5,2014,67.06847364484233,127.61883112704399
5,2015,66.03447139143762,132.74165524708368
5,2016,67.61754233816411,130.6499933995551
5,2017,84.67620706320437,128.03045555495103
5,2018,97.97364057123062,128.77000008609957
5,2019,100.8979801016114,125.99060709761251
5,2020,84.85421349727227,129.04831870450394
5,2021,118.47954115570964,128.91739517323884
5,2022,139.23672629855523,136.47446826183213
6,2010,112.25333667202513,123.58416671881231
6,2011,123.32534116610945,124.80205093945172
6,2012,117.41514982093287,121.84990848148969
6,2013,102.33686658805381,129.04902686236778
6,2014,93.1602588354879,126.65507970743832
6,2015,90.10107661227468,130.25604059163786
6,2016,96.78407427936561,130.69784175999087
6,2017,122.57028303209125,133.84572494989223
6,2018,139.16153058138363,135.74200367076045
6,2019,136.8534843966823,138.42445576879615
6,2020,121.23742864936516,136.7187286591585
6,2021,155.78547754294345,143.2294941289948
6,2022,169.5997488265506,147.1409588442074
7,2010,90.10703805821063,94.60808224292897
7,2011,99.17355715058706,92.28265564969149
7,2012,96.26881427753861,92.43040074403646
7,2013,83.02553338127979,94.40080223995574
7,2014,71.42351568687408,96.86893535188118
7,2015,73.43743274001271,99.12502123717796
7,2016,80.50415252543593,96.82653112441429
7,2017,89.69227045503031,97.9362549471595
7,2018,98.77217257050623,93.68572532621286
7,2019,101.2315973802788,95.18591372535386
7,2020,79.84235605980759,97.25521794480976
7,2021,107.04738256316114,102.18015983039793
7,2022,119.2701091663799,104.53422531744758
8,2010,83.55038513298112,76.65828652408393
8,2011,87.29814840203352,73.18482166874021
8,2012,85.62074828145506,75.19051819118675
8,2013,74.19354560466955,82.83302868194987
8,2014,66.47616282845127,90.9164059531182
8,2015,63.729606743769764,96.24217013315037
8,2016,64.94223274378477,101.12007400240617
8,2017,83.44929218310911,103.94161628061384
8,2018,99.30897677118858,106.18053245982277
8,2019,100.31709782893859,110.25042315009146
8,2020,88.460191871067,107.05264487885262
8,2021,110.18431865027421,100.69762324686653
8,2022,121.1301296923487,108.74775338549657
9,2010,90.03993032364849,90.9351336758775
9,2011,104.14046281935765,82.33089033159729
9,2012,103.94220802627918,85.61210001106409
9,2013,99.80976570478464,85.2041354848536
9,2014,90.98870986752603,87.87076686771658
9,2015,82.98031838503053,81.69842979711392
9,2016,84.17720631656427,88.60318275807147
9,2017,101.52997472700822,87.110502488603
9,2018,113.3158857146363,90.66595633265405
9,2019,108.03580090879919,87.77803237792922
9,2020,92.1356597979468,96.85406672085439
9,2021,118.42065766700591,100.50571095361043
9,2022,125.07945296674117,100.01999872792837
10,2010,76.50974212948658,84.73071278861973
10,2011,82.93614064356747,84.17330069647802
10,2012,81.49624037311318,85.63572077293303
10,2013,74.33879098586365,86.2391135423073
10,2014,70.01385281802372,87.81279272751226
10,2015,61.326206553951494,93.82614321812139
10,2016,70.99244016855354,88.4673653274878
10,2017,82.04368504222023,89.79418241262277
10,2018,92.43987597192462,86.26378617019267
10,2019,95.12161126253561,85.92581859057111
10,2020,81.47137895207457,82.47919771896044
10,2021,107.10530314337869,87.34370232837692
10,2022,123.12628559812235,84.68952999466185
11,2010,84.41621314071236,100.96912288252906
11,2011,95.65507937334459,100.32694768388515
11,2012,94.80880697613395,100.72670405254871
11,2013,86.88942832588116,107.00998641558732
11,2014,78.88073344746748,109.85793370929085
11,2015,77.37559050366856,114.26259279466251
11,2016,85.69033518002271,113.67273670416047
11,2017,99.30686426828075,113.53416608930848
11,2018,108.0834629223647,114.60511777003208
11,2019,116.37483047157644,117.16740539687356
11,2020,101.48542048226787,114.59873444611857
11,2021,125.73015050351732,116.8366356009426
11,2022,138.44875624260678,116.58827635178861
12,2010,68.10085304961297,87.45433077554179
12,2011,73.24034750084505,86.53407315232522
