Region,Municipality,Year,GDP per capita (euro at current prices),Imports (euro),Exports (euro),"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
12,TOTAL,2022,37992.8,1233000000,2996000000,378.9,18.5,308.4,335.7,149.8,91.4,123.3,102.3,152.2,102.1,277.5,371.7,668.4,116.9,13.5
13,TOTAL,2015,31730.4,535000000,553000000,306.3,4.4,494.6,485.4,262.7,109.5,380.1,105.7,285,208.6,378.6,619.1,862.9,205.5,20
13,TOTAL,2016,32743.0,503000000,561000000,320.9,26.6,550.9,496.6,288,132.6,338.6,98,284.1,208.7,370.6,623.3,882.8,213.2,18
13,TOTAL,2017,33816.4,551000000,612000000,329.0,23.2,611.5,516.3,308.9,142.4,347.6,91,310.2,215.4,383.4,602,889.9,248.7,18.2
13,TOTAL,2018,35405.7,575000000,632000000,359.8,23.8,633.9,537.2,292.6,130.9,374.8,78.9,332.2,248.8,396,603.6,921.4,236.2,19.8
13,TOTAL,2019,35809.8,629000000,649000000,384.1,21,671.7,552.2,317.4,128.6,375.5,80.5,352.3,245.9,418.5,627.3,939.2,248.7,18.5
13,TOTAL,2020,35079.4,696000000,636000000,389.7,28.1,688.5,569.2,309.6,101,401.7,75,360.7,218.6,408.1,633.5,959.2,231.9,19
13,TOTAL,2021,37388.2,821000000,773000000,384.1,21,657.1,574.6,369.5,110,409,88.9,383.1,222.2,437.8,665.8,1016,253.8,18
13,TOTAL,2022,40650.4,942000000,843000000,412.8,38.4,665,629.3,344.7,158.2,436.6,106.7,394.3,258.7,461.4,698.5,1065.6,264.5,19.3
14,TOTAL,2015,30080.7,1310000000,3129000000,299.3,34.7,372.9,476.6,261.4,57.3,60.7,110.7,134,87.2,242.1,307.5,702.7,140.9,18.1
14,TOTAL,2016,30080.8,1382000000,3122000000,310.1,31.9,372.4,444.9,265.6,63.3,59.1,105.5,132.2,94.4,232.2,302.8,708.2,148.8,21.3
14,TOTAL,2017,31720.9,1385000000,3507000000,321.3,26.6,428.6,465.9,256.2,71.4,73.9,108.4,143.6,107.1,221.1,312.6,713.4,150.7,21.6
14,TOTAL,2018,32190.7,1269000000,3508000000,324.1,25.3,447.4,466.3,258.1,72.4,66,96.6,147.1,113.2,211.6,310.9,737.8,161.3,14.6
14,TOTAL,2019,33884.6,1335000000,3550000000,390.4,25.1,452.3,488.3,261.8,74.4,64.3,99.6,197.6,116.9,218,308.5,761.8,146.7,14.8
14,TOTAL,2020,34185.9,1284000000,3226000000,405.6,27.8,455.9,490.9,252.1,58.8,64.5,86.3,194.6,107.6,213.6,313.1,779.3,133.3,14.9
14,TOTAL,2021,36042.7,1938000000,3656000000,420.6,17.4,446.6,523.7,263.3,60,71.1,94.5,201.8,116.8,236.7,332.1,817.8,138.6,12.8
14,TOTAL,2022,38416.9,2300000000,3917000000,473.4,19.1,462.9,535.3,274.5,72.4,79.6,122.1,212.2,135.6,240.3,344.5,858.8,150.2,13.3
15,TOTAL,2015,38897.3,1517000000,1729000000,294.0,6.9,351.3,357.5,196.5,71.9,205.6,121.8,216.1,144.3,251.8,342.5,589,140.3,13.3
15,TOTAL,2016,38584.7,1415000000,1806000000,283.8,5.7,390.5,366.7,193.7,73.5,184,117.6,219.8,132.5,247.3,330.9,592.5,137.5,13.9
15,TOTAL,2017,39225.9,2100000000,1611000000,293.8,3.8,422.8,374.4,194.5,84.1,201.2,122.7,223.9,166.3,210.6,342.1,577.8,145.3,14.1
15,TOTAL,2018,40432.1,2387000000,1865000000,285.5,5.1,411.4,378.6,194.1,91.4,191.2,120.7,238.2,149.5,216.1,351.8,600.3,145.7,13.6
15,TOTAL,2019,41195.8,1802000000,1715000000,342.0,7.6,440.4,376.3,194.9,107.6,171.2,114.3,260.8,159.1,216,364.9,607.2,140.5,14.5
15,TOTAL,2020,40232.3,2029000000,1893000000,330.2,6.3,462.9,388.3,179.5,84.3,178.4,127.1,270.6,174.3,219.2,370.7,632.8,138.7,16.7
15,TOTAL,2021,44224.1,2926000000,2373000000,336.8,9.8,478.8,403.2,190.7,85.6,194.4,139.9,276.8,212,233.4,391.2,684.7,140.1,14
15,TOTAL,2022,46375.4,3554000000,2862000000,367.6,7.4,481.5,423.4,217.1,111.8,265.7,172.6,282.4,209.8,247.2,409.7,704.5,153.1,13.5
16,TOTAL,2015,35158.2,1443000000,1396000000,120.9,4.1,125,177.5,124.6,24,71.6,39.1,74.3,35.8,88.2,126.1,264,50.3,6.6
