Municipality,Year,"A Agriculture, forestry and fishing Stock Of Enterprises (unit)",B Mining and quarrying Stock Of Enterprises (unit),C Manufacturing Stock Of Enterprises (unit),"D Electricity,  gas, steam and air conditioning supply Stock Of Enterprises (unit)","E Water supply: sewerage, waste management and remediation activities Stock Of Enterprises (unit)",F Construction Stock Of Enterprises (unit),G Wholesale and retail trade: repair of motor vehicles and motorcycles Stock Of Enterprises (unit),H Transportation and storage Stock Of Enterprises (unit),I Accommodation and food service activities Stock Of Enterprises (unit),J Information and communication Stock Of Enterprises (unit),K Financial and insurance activities Stock Of Enterprises (unit),L Real estate activities Stock Of Enterprises (unit),"M Professional, scientific and technical activities Stock of Enterprises (unit)",N Administrative and support service activities Stock Of Enterprises (unit),O Public administration and defence: compulsory social security Stock Of Enterprises (unit),P Education Stock Of Enterprises (unit),Q Human health and social work activities Stock Of Enterprises (unit),"R Arts, entertainment and recreation Stock Of Enterprises (unit)",S Other service activities Stock Of Enterprises (unit),T Activities of households as employers: undifferentiated goods- and services-producing activities of households for own use Stock Of Enterprises (unit),U Activities of extraterritorial organisations and bodies Stock Of Enterprises (unit),X Industry unknown Stock Of Enterprises (unit),Region
217,2009.0,54.0,,28.0,3.0,2.0,45.0,75.0,53.0,9.0,3.0,6.0,33.0,27.0,12.0,,6.0,6.0,5.0,33.0,,,,16
217,2010.0,52.0,,28.0,3.0,2.0,47.0,77.0,54.0,12.0,4.0,5.0,33.0,29.0,15.0,,6.0,6.0,5.0,31.0,,,,16
217,2011.0,53.0,,26.0,3.0,2.0,51.0,76.0,55.0,11.0,4.0,7.0,35.0,28.0,15.0,,6.0,7.0,5.0,33.0,,,,16
217,2012.0,55.0,,27.0,3.0,2.0,55.0,71.0,51.0,11.0,4.0,6.0,38.0,30.0,17.0,,5.0,10.0,5.0,31.0,,,,16
218,2005.0,24.0,1.0,21.0,2.0,2.0,27.0,15.0,9.0,5.0,1.0,,7.0,3.0,6.0,,,1.0,1.0,2.0,,,,14
218,2006.0,23.0,1.0,18.0,2.0,3.0,26.0,14.0,9.0,5.0,1.0,,7.0,3.0,7.0,,,1.0,1.0,2.0,,,,14
218,2007.0,24.0,1.0,18.0,2.0,3.0,27.0,17.0,9.0,3.0,,,7.0,4.0,7.0,,,2.0,1.0,2.0,,,,14
218,2008.0,22.0,1.0,19.0,2.0,3.0,29.0,15.0,11.0,3.0,,,7.0,4.0,6.0,,,3.0,1.0,2.0,,,,14
218,2009.0,24.0,1.0,19.0,2.0,3.0,31.0,13.0,9.0,3.0,,,7.0,4.0,6.0,,,2.0,1.0,2.0,,,,14
218,2010.0,23.0,1.0,19.0,2.0,3.0,31.0,15.0,8.0,5.0,,,8.0,5.0,6.0,,,2.0,1.0,2.0,,,,14
218,2011.0,23.0,1.0,18.0,2.0,4.0,32.0,16.0,8.0,5.0,,,8.0,5.0,4.0,,,2.0,1.0,2.0,,,,14
218,2012.0,22.0,1.0,19.0,2.0,4.0,34.0,20.0,8.0,5.0,,,8.0,5.0,5.0,,,3.0,1.0,2.0,,,,14
224,2005.0,9.0,1.0,63.0,,,118.0,110.0,55.0,18.0,14.0,2.0,25.0,51.0,22.0,,5.0,14.0,8.0,32.0,,,,01
224,2006.0,9.0,1.0,63.0,,,120.0,113.0,53.0,17.0,14.0,3.0,23.0,51.0,27.0,,6.0,15.0,10.0,31.0,,,,01
224,2007.0,9.0,1.0,69.0,,1.0,135.0,109.0,51.0,17.0,14.0,2.0,24.0,54.0,31.0,,7.0,15.0,11.0,40.0,,,,01
224,2008.0,10.0,1.0,66.0,,2.0,143.0,112.0,53.0,23.0,13.0,2.0,24.0,56.0,33.0,,7.0,16.0,13.0,39.0,,,,01
224,2009.0,9.0,1.0,63.0,,2.0,134.0,109.0,57.0,21.0,13.0,2.0,26.0,56.0,34.0,,9.0,19.0,14.0,43.0,,,,01
224,2010.0,10.0,,54.0,,3.0,132.0,114.0,63.0,21.0,13.0,2.0,27.0,55.0,36.0,,9.0,18.0,15.0,38.0,,,,01
224,2011.0,11.0,1.0,52.0,,3.0,138.0,111.0,66.0,23.0,14.0,2.0,25.0,53.0,37.0,,9.0,18.0,15.0,40.0,,,,01
224,2012.0,12.0,1.0,54.0,,2.0,132.0,107.0,67.0,25.0,14.0,2.0,26.0,53.0,33.0,,8.0,19.0,15.0,43.0,,,,01
226,2005.0,30.0,13.0,39.0,2.0,4.0,61.0,51.0,40.0,6.0,5.0,,13.0,18.0,8.0,,1.0,2.0,2.0,19.0,,,,13
226,2006.0,30.0,12.0,34.0,2.0,4.0,58.0,51.0,39.0,6.0,5.0,,12.0,15.0,9.0,,2.0,3.0,2.0,21.0,,,,13
226,2007.0,32.0,12.0,32.0,2.0,4.0,62.0,52.0,38.0,7.0,5.0,,11.0,17.0,9.0,,2.0,6.0,2.0,22.0,,,,13
226,2008.0,35.0,12.0,32.0,2.0,3.0,61.0,52.0,39.0,6.0,6.0,,12.0,21.0,10.0,,2.0,7.0,3.0,22.0,,,,13
226,2009.0,37.0,12.0,31.0,2.0,4.0,64.0,53.0,40.0,7.0,5.0,,13.0,21.0,11.0,,2.0,9.0,2.0,23.0,,,,13
226,2010.0,36.0,11.0,32.0,2.0,2.0,61.0,51.0,41.0,6.0,5.0,,14.0,24.0,13.0,,1.0,9.0,2.0,22.0,,,,13
226,2011.0,36.0,11.0,31.0,2.0,1.0,61.0,51.0,41.0,6.0,5.0,,12.0,24.0,13.0,,1.0,9.0,2.0,21.0,,,,13
226,2012.0,37.0,11.0,32.0,2.0,1.0,60.0,52.0,40.0,6.0,5.0,,13.0,25.0,13.0,,1.0,7.0,3.0,22.0,,,,13
230,2005.0,21.0,14.0,31.0,,3.0,31.0,33.0,26.0,7.0,2.0,1.0,7.0,7.0,3.0,,1.0,2.0,1.0,7.0,,,,04
230,2006.0,20.0,12.0,32.0,,3.0,31.0,34.0,26.0,8.0,2.0,1.0,7.0,7.0,5.0,,2.0,4.0,1.0,8.0,,,,04
230,2007.0,20.0,10.0,33.0,2.0,3.0,35.0,36.0,24.0,8.0,1.0,1.0,7.0,9.0,5.0,,1.0,4.0,1.0,7.0,,,,04
230,2008.0,22.0,9.0,34.0,2.0,4.0,38.0,37.0,24.0,8.0,2.0,1.0,7.0,9.0,4.0,,1.0,4.0,1.0,7.0,,,,04
230,2009.0,24.0,9.0,35.0,2.0,4.0,39.0,35.0,23.0,8.0,2.0,1.0,6.0,9.0,6.0,,1.0,4.0,1.0,8.0,,,,04
230,2010.0,24.0,9.0,33.0,2.0,4.0,40.0,34.0,23.0,8.0,2.0,1.0,8.0,8.0,5.0,,1.0,4.0,1.0,9.0,,,,04
230,2011.0,25.0,10.0,37.0,2.0,4.0,42.0,34.0,25.0,8.0,2.0,1.0,12.0,9.0,5.0,,1.0,5.0,2.0,9.0,,,,04
230,2012.0,23.0,11.0,38.0,2.0,4.0,41.0,32.0,25.0,9.0,1.0,1.0,11.0,11.0,5.0,,1.0,4.0,3.0,9.0,,,,04
231,2005.0,4.0,,17.0,1.0,,10.0,18.0,6.0,5.0,3.0,,9.0,5.0,1.0,,,,,6.0,,,,15
231,2006.0,4.0,,17.0,1.0,,11.0,20.0,6.0,6.0,3.0,,9.0,7.0,1.0,,,,,7.0,,,,15
231,2007.0,4.0,,19.0,1.0,,13.0,18.0,7.0,6.0,3.0,,9.0,6.0,1.0,,,1.0,,8.0,,,,15
231,2008.0,4.0,,18.0,1.0,,13.0,17.0,7.0,6.0,3.0,,9.0,5.0,1.0,,,1.0,,9.0,,,,15
231,2009.0,3.0,,17.0,1.0,,13.0,16.0,7.0,6.0,3.0,,9.0,5.0,1.0,,,1.0,,8.0,,,,15
231,2010.0,3.0,1.0,18.0,1.0,,13.0,18.0,8.0,4.0,3.0,,9.0,6.0,1.0,,1.0,1.0,,8.0,,,,15
231,2011.0,3.0,1.0,21.0,1.0,,13.0,15.0,8.0,6.0,3.0,,10.0,9.0,1.0,,1.0,1.0,,8.0,,,,15
231,2012.0,3.0,,21.0,1.0,,13.0,15.0,8.0,7.0,3.0,,11.0,9.0,1.0,,1.0,1.0,,8.0,,,,15
232,2005.0,55.0,20.0,173.0,3.0,5.0,118.0,204.0,65.0,27.0,19.0,7.0,70.0,78.0,24.0,,2.0,16.0,6.0,62.0,,,,14
232,2006.0,59.0,19.0,167.0,3.0,4.0,127.0,208.0,66.0,27.0,19.0,7.0,79.0,79.0,26.0,,4.0,18.0,6.0,60.0,,,,14
232,2007.0,65.0,19.0,170.0,3.0,4.0,133.0,203.0,73.0,29.0,21.0,7.0,82.0,85.0,30.0,,3.0,23.0,6.0,65.0,,,,14
232,2008.0,70.0,19.0,172.0,3.0,4.0,139.0,211.0,74.0,33.0,20.0,6.0,87.0,88.0,30.0,,4.0,23.0,5.0,62.0,,,,14
232,2009.0,76.0,19.0,168.0,3.0,4.0,141.0,204.0,71.0,32.0,17.0,7.0,88.0,89.0,32.0,,4.0,24.0,5.0,62.0,,,,14
232,2010.0,76.0,22.0,168.0,3.0,4.0,146.0,203.0,69.0,27.0,17.0,7.0,95.0,93.0,30.0,,4.0,25.0,11.0,74.0,,,,14
232,2011.0,79.0,25.0,168.0,3.0,4.0,154.0,202.0,67.0,30.0,19.0,9.0,100.0,98.0,36.0,,6.0,28.0,12.0,78.0,,,,14
232,2012.0,77.0,25.0,169.0,4.0,4.0,159.0,204.0,62.0,28.0,21.0,7.0,101.0,102.0,38.0,,6.0,32.0,11.0,79.0,,,,14
233,2005.0,133.0,8.0,225.0,5.0,6.0,199.0,240.0,110.0,30.0,17.0,8.0,64.0,72.0,40.0,,10.0,16.0,12.0,74.0,,,,14
233,2006.0,133.0,9.0,235.0,5.0,6.0,210.0,255.0,108.0,32.0,19.0,9.0,64.0,73.0,40.0,,11.0,16.0,12.0,76.0,,,,14
233,2007.0,140.0,11.0,232.0,5.0,5.0,222.0,249.0,108.0,30.0,22.0,9.0,69.0,79.0,45.0,,8.0,20.0,15.0,76.0,,,,14
233,2008.0,142.0,11.0,229.0,5.0,5.0,208.0,251.0,109.0,30.0,25.0,9.0,72.0,78.0,50.0,,6.0,24.0,17.0,79.0,,,,14
233,2009.0,152.0,11.0,223.0,6.0,5.0,205.0,252.0,107.0,31.0,23.0,10.0,74.0,76.0,52.0,,7.0,25.0,19.0,81.0,,,,14
233,2010.0,156.0,11.0,216.0,6.0,6.0,214.0,255.0,105.0,36.0,22.0,11.0,77.0,84.0,51.0,,9.0,22.0,20.0,83.0,,,,14
233,2011.0,160.0,12.0,220.0,7.0,6.0,221.0,268.0,105.0,36.0,24.0,7.0,76.0,88.0,56.0,,8.0,23.0,21.0,85.0,,,,14
233,2012.0,163.0,12.0,214.0,6.0,5.0,228.0,273.0,105.0,36.0,22.0,7.0,78.0,96.0,58.0,,7.0,22.0,21.0,85.0,,,,14
235,2005.0,3.0,,10.0,,,20.0,97.0,9.0,12.0,34.0,13.0,39.0,148.0,20.0,,9.0,12.0,5.0,26.0,,,,01
235,2006.0,3.0,,11.0,1.0,,21.0,95.0,9.0,14.0,34.0,11.0,41.0,145.0,21.0,,10.0,11.0,7.0,30.0,,,,01
235,2007.0,3.0,,12.0,1.0,,28.0,97.0,9.0,12.0,39.0,11.0,43.0,160.0,23.0,,9.0,13.0,7.0,30.0,,,,01
235,2008.0,3.0,,12.0,1.0,,26.0,98.0,10.0,10.0,37.0,12.0,41.0,171.0,25.0,,11.0,13.0,7.0,30.0,,,,01
235,2009.0,3.0,,13.0,1.0,,29.0,100.0,9.0,11.0,36.0,15.0,38.0,186.0,22.0,,13.0,17.0,8.0,30.0,,,,01
235,2010.0,3.0,,13.0,1.0,,25.0,97.0,9.0,9.0,31.0,13.0,36.0,187.0,27.0,,17.0,18.0,15.0,31.0,,,,01
235,2011.0,3.0,,13.0,1.0,,23.0,100.0,9.0,10.0,31.0,14.0,37.0,196.0,28.0,,16.0,18.0,20.0,32.0,,,,01
235,2012.0,3.0,,14.0,1.0,,26.0,102.0,8.0,9.0,36.0,15.0,40.0,207.0,25.0,,13.0,18.0,20.0,35.0,,,,01
236,2005.0,64.0,1.0,32.0,1.0,4.0,31.0,40.0,30.0,13.0,1.0,3.0,9.0,17.0,8.0,,,6.0,7.0,12.0,,,,16
236,2006.0,65.0,2.0,31.0,1.0,4.0,32.0,42.0,30.0,14.0,1.0,3.0,10.0,20.0,8.0,,,11.0,8.0,19.0,,,,16
236,2007.0,69.0,2.0,31.0,1.0,4.0,38.0,41.0,32.0,14.0,3.0,3.0,10.0,20.0,10.0,,,14.0,8.0,20.0,,,,16
236,2008.0,66.0,2.0,31.0,1.0,4.0,40.0,40.0,33.0,14.0,3.0,3.0,11.0,16.0,12.0,,,16.0,8.0,20.0,,,,16
236,2009.0,70.0,2.0,34.0,1.0,4.0,39.0,40.0,32.0,12.0,3.0,2.0,11.0,16.0,13.0,,1.0,14.0,10.0,22.0,,,,16
236,2010.0,79.0,2.0,34.0,1.0,4.0,42.0,40.0,32.0,14.0,3.0,3.0,12.0,17.0,13.0,,1.0,14.0,13.0,25.0,,,,16
236,2011.0,71.0,4.0,33.0,1.0,4.0,42.0,41.0,29.0,15.0,4.0,2.0,13.0,18.0,12.0,,1.0,16.0,12.0,26.0,,,,16
236,2012.0,68.0,5.0,32.0,1.0,5.0,38.0,40.0,28.0,15.0,6.0,2.0,12.0,19.0,9.0,,1.0,15.0,11.0,23.0,,,,16
239,2005.0,15.0,1.0,15.0,,3.0,14.0,21.0,17.0,5.0,,2.0,8.0,6.0,5.0,,1.0,3.0,1.0,10.0,,,,11
239,2006.0,18.0,1.0,15.0,,3.0,14.0,22.0,17.0,4.0,,2.0,8.0,6.0,8.0,,1.0,3.0,,10.0,,,,11
239,2007.0,16.0,1.0,16.0,,3.0,14.0,22.0,16.0,4.0,,1.0,9.0,6.0,6.0,,1.0,4.0,1.0,9.0,,,,11
239,2008.0,17.0,1.0,16.0,,3.0,15.0,19.0,14.0,4.0,,2.0,9.0,5.0,6.0,,2.0,4.0,1.0,6.0,,,,11
239,2009.0,15.0,1.0,13.0,,3.0,14.0,19.0,14.0,3.0,,2.0,10.0,5.0,7.0,,2.0,4.0,1.0,7.0,,,,11
239,2010.0,15.0,,13.0,,3.0,16.0,19.0,16.0,4.0,1.0,2.0,8.0,5.0,7.0,,1.0,4.0,1.0,8.0,,,,11
239,2011.0,17.0,,13.0,,3.0,17.0,18.0,15.0,6.0,1.0,2.0,8.0,5.0,6.0,,1.0,4.0,1.0,8.0,,,,11
239,2012.0,19.0,,12.0,,3.0,18.0,17.0,16.0,7.0,,1.0,8.0,7.0,5.0,,1.0,4.0,1.0,8.0,,,,11
240,2005.0,9.0,,65.0,4.0,6.0,113.0,240.0,107.0,52.0,14.0,5.0,89.0,83.0,36.0,,6.0,23.0,11.0,95.0,1.0,,,19
240,2006.0,9.0,,66.0,4.0,9.0,122.0,231.0,100.0,49.0,15.0,6.0,90.0,86.0,37.0,,6.0,22.0,9.0,98.0,1.0,,,19
240,2007.0,8.0,1.0,68.0,4.0,9.0,128.0,203.0,99.0,45.0,19.0,8.0,90.0,88.0,41.0,,6.0,22.0,9.0,100.0,1.0,,,19
240,2008.0,8.0,1.0,68.0,4.0,9.0,125.0,190.0,99.0,45.0,20.0,9.0,85.0,93.0,42.0,,5.0,22.0,7.0,104.0,1.0,,,19
240,2009.0,8.0,1.0,71.0,4.0,8.0,129.0,180.0,94.0,53.0,17.0,8.0,89.0,98.0,43.0,,6.0,20.0,10.0,105.0,1.0,,,19
240,2010.0,8.0,1.0,71.0,5.0,8.0,125.0,179.0,98.0,49.0,15.0,7.0,92.0,105.0,46.0,,5.0,21.0,14.0,102.0,1.0,,,19
240,2011.0,11.0,1.0,72.0,5.0,8.0,132.0,178.0,98.0,49.0,15.0,6.0,94.0,112.0,49.0,,5.0,26.0,14.0,102.0,1.0,,,19
240,2012.0,14.0,1.0,76.0,5.0,6.0,132.0,174.0,96.0,48.0,19.0,6.0,93.0,113.0,46.0,,6.0,28.0,15.0,106.0,1.0,,,19
320,2005.0,33.0,4.0,36.0,3.0,3.0,36.0,77.0,45.0,29.0,4.0,1.0,36.0,28.0,25.0,,3.0,7.0,6.0,38.0,,,,19
320,2006.0,33.0,5.0,34.0,3.0,2.0,38.0,71.0,42.0,28.0,5.0,1.0,33.0,27.0,24.0,,4.0,5.0,4.0,34.0,,,,19
320,2007.0,31.0,5.0,31.0,3.0,2.0,40.0,73.0,43.0,26.0,5.0,1.0,33.0,32.0,21.0,,4.0,6.0,5.0,35.0,,,,19
320,2008.0,30.0,5.0,30.0,3.0,2.0,41.0,69.0,44.0,23.0,7.0,2.0,32.0,33.0,23.0,,4.0,6.0,3.0,35.0,,,,19
320,2009.0,31.0,5.0,33.0,3.0,3.0,46.0,69.0,43.0,27.0,9.0,2.0,33.0,33.0,29.0,,3.0,6.0,3.0,36.0,,,,19
320,2010.0,33.0,5.0,31.0,3.0,3.0,45.0,67.0,39.0,26.0,7.0,3.0,33.0,33.0,30.0,,3.0,7.0,6.0,37.0,,,,19
320,2011.0,33.0,4.0,32.0,3.0,2.0,45.0,71.0,39.0,29.0,7.0,3.0,35.0,30.0,32.0,,2.0,6.0,6.0,38.0,,,,19
320,2012.0,33.0,4.0,33.0,3.0,2.0,47.0,74.0,41.0,25.0,6.0,3.0,39.0,29.0,31.0,,2.0,6.0,5.0,37.0,,,,19
241,2005.0,14.0,,45.0,2.0,1.0,87.0,83.0,51.0,17.0,9.0,3.0,34.0,24.0,16.0,,1.0,12.0,8.0,28.0,,,,19
241,2006.0,14.0,,45.0,2.0,2.0,88.0,83.0,49.0,18.0,7.0,4.0,36.0,27.0,16.0,,1.0,13.0,8.0,27.0,,,,19
241,2007.0,17.0,,45.0,2.0,2.0,93.0,84.0,48.0,18.0,5.0,4.0,34.0,26.0,17.0,,1.0,14.0,8.0,28.0,,,,19
241,2008.0,16.0,,49.0,2.0,2.0,94.0,85.0,49.0,16.0,5.0,5.0,37.0,26.0,16.0,,1.0,14.0,11.0,32.0,,,,19
241,2009.0,16.0,,50.0,2.0,2.0,92.0,77.0,49.0,14.0,4.0,6.0,35.0,28.0,17.0,,2.0,10.0,11.0,36.0,,,,19
241,2010.0,15.0,1.0,52.0,2.0,2.0,87.0,88.0,47.0,12.0,3.0,5.0,35.0,30.0,18.0,,2.0,11.0,11.0,38.0,,,,19
241,2011.0,15.0,2.0,53.0,2.0,2.0,88.0,92.0,47.0,12.0,4.0,3.0,34.0,31.0,18.0,,2.0,11.0,10.0,35.0,,,,19
241,2012.0,16.0,2.0,54.0,2.0,2.0,91.0,89.0,49.0,10.0,5.0,3.0,36.0,33.0,15.0,,3.0,14.0,10.0,36.0,,,,19
322,2005.0,33.0,1.0,56.0,2.0,3.0,107.0,100.0,78.0,29.0,14.0,7.0,40.0,42.0,35.0,,6.0,9.0,6.0,22.0,,,,02
322,2006.0,33.0,,57.0,2.0,3.0,110.0,110.0,75.0,30.0,14.0,6.0,42.0,46.0,37.0,,7.0,10.0,6.0,23.0,,,,02
322,2007.0,31.0,,56.0,2.0,4.0,125.0,108.0,73.0,30.0,16.0,6.0,40.0,52.0,40.0,,9.0,10.0,6.0,24.0,,,,02
322,2008.0,39.0,,57.0,2.0,4.0,135.0,115.0,72.0,28.0,14.0,6.0,38.0,53.0,38.0,,9.0,10.0,7.0,26.0,,,,02
322,2009.0,45.0,,55.0,2.0,4.0,144.0,110.0,73.0,30.0,12.0,6.0,36.0,54.0,48.0,,9.0,12.0,7.0,30.0,,,,02
322,2010.0,44.0,,55.0,2.0,4.0,147.0,112.0,73.0,29.0,11.0,7.0,33.0,51.0,48.0,,9.0,12.0,8.0,32.0,,,,02
322,2011.0,45.0,,56.0,3.0,4.0,158.0,106.0,70.0,29.0,11.0,7.0,34.0,50.0,54.0,,9.0,12.0,10.0,35.0,,,,02
322,2012.0,44.0,,55.0,3.0,4.0,162.0,100.0,68.0,33.0,10.0,7.0,34.0,56.0,51.0,,10.0,12.0,12.0,39.0,,,,02
244,2005.0,7.0,2.0,54.0,4.0,6.0,106.0,153.0,58.0,23.0,12.0,11.0,49.0,64.0,24.0,,7.0,13.0,6.0,37.0,,,,17
244,2006.0,8.0,2.0,57.0,5.0,6.0,111.0,156.0,63.0,22.0,14.0,11.0,55.0,65.0,27.0,,7.0,16.0,7.0,38.0,,,,17
244,2007.0,9.0,2.0,63.0,5.0,5.0,121.0,157.0,64.0,24.0,16.0,12.0,61.0,70.0,32.0,,7.0,19.0,10.0,39.0,,,,17
244,2008.0,9.0,2.0,58.0,5.0,5.0,129.0,161.0,67.0,25.0,19.0,12.0,63.0,76.0,32.0,,6.0,20.0,11.0,39.0,,,,17
244,2009.0,11.0,2.0,63.0,5.0,5.0,128.0,158.0,69.0,25.0,21.0,11.0,60.0,75.0,38.0,,7.0,20.0,11.0,41.0,,,,17
244,2010.0,12.0,2.0,58.0,6.0,5.0,128.0,160.0,68.0,26.0,25.0,10.0,61.0,83.0,37.0,,8.0,21.0,12.0,40.0,,,,17
244,2011.0,13.0,2.0,65.0,6.0,5.0,133.0,163.0,71.0,26.0,29.0,11.0,70.0,95.0,37.0,,8.0,24.0,10.0,41.0,,,,17
244,2012.0,11.0,2.0,63.0,5.0,5.0,132.0,162.0,69.0,27.0,32.0,10.0,70.0,98.0,38.0,,7.0,25.0,12.0,45.0,,,,17
245,2005.0,7.0,,125.0,4.0,1.0,267.0,361.0,86.0,40.0,57.0,16.0,87.0,230.0,86.0,1.0,10.0,36.0,21.0,104.0,,,,01
245,2006.0,8.0,,125.0,5.0,1.0,296.0,371.0,95.0,45.0,55.0,17.0,85.0,237.0,98.0,1.0,10.0,44.0,24.0,116.0,,,,01
245,2007.0,10.0,,125.0,5.0,1.0,308.0,369.0,103.0,44.0,59.0,17.0,89.0,251.0,110.0,1.0,11.0,45.0,28.0,122.0,,,,01
245,2008.0,10.0,,123.0,5.0,1.0,328.0,377.0,108.0,52.0,58.0,17.0,97.0,268.0,123.0,,12.0,49.0,40.0,120.0,1.0,,,01
245,2009.0,12.0,,130.0,4.0,1.0,311.0,375.0,103.0,53.0,64.0,16.0,91.0,279.0,121.0,,16.0,50.0,44.0,125.0,1.0,,,01
245,2010.0,15.0,,134.0,4.0,1.0,314.0,381.0,101.0,60.0,68.0,15.0,97.0,296.0,122.0,,18.0,44.0,44.0,145.0,1.0,,,01
245,2011.0,16.0,,132.0,4.0,1.0,330.0,385.0,102.0,63.0,66.0,15.0,98.0,308.0,119.0,,21.0,51.0,48.0,158.0,1.0,,,01
245,2012.0,16.0,,129.0,4.0,1.0,341.0,385.0,106.0,59.0,71.0,15.0,99.0,323.0,123.0,,21.0,55.0,46.0,158.0,1.0,,,01
249,2005.0,33.0,,97.0,4.0,5.0,83.0,115.0,48.0,22.0,13.0,7.0,56.0,38.0,21.0,,4.0,14.0,8.0,26.0,,,,13
249,2006.0,34.0,,94.0,4.0,7.0,86.0,115.0,48.0,20.0,13.0,7.0,57.0,31.0,20.0,,3.0,16.0,10.0,30.0,,,,13
249,2007.0,35.0,,88.0,4.0,7.0,83.0,113.0,46.0,23.0,13.0,7.0,57.0,26.0,23.0,,3.0,19.0,11.0,29.0,,,,13
249,2008.0,33.0,,92.0,4.0,8.0,85.0,115.0,45.0,25.0,12.0,8.0,58.0,29.0,22.0,,4.0,19.0,11.0,34.0,,,,13
249,2009.0,34.0,,90.0,3.0,8.0,83.0,118.0,44.0,25.0,14.0,8.0,60.0,34.0,24.0,,5.0,19.0,11.0,36.0,,,,13
249,2010.0,33.0,1.0,86.0,2.0,7.0,88.0,117.0,47.0,27.0,16.0,8.0,57.0,36.0,21.0,,4.0,19.0,13.0,41.0,,,,13
249,2011.0,38.0,1.0,92.0,2.0,7.0,95.0,117.0,50.0,27.0,16.0,8.0,58.0,36.0,21.0,,4.0,21.0,14.0,45.0,,,,13
249,2012.0,39.0,,90.0,2.0,6.0,96.0,109.0,49.0,27.0,17.0,7.0,61.0,40.0,21.0,,4.0,22.0,14.0,42.0,,,,13
250,2005.0,14.0,5.0,26.0,,6.0,30.0,27.0,26.0,2.0,,1.0,8.0,10.0,8.0,,1.0,4.0,1.0,11.0,,,,06
250,2006.0,16.0,4.0,26.0,,5.0,28.0,29.0,26.0,4.0,,1.0,7.0,10.0,9.0,,2.0,4.0,1.0,11.0,,,,06
250,2007.0,15.0,4.0,29.0,,5.0,27.0,29.0,26.0,3.0,,1.0,8.0,10.0,10.0,,2.0,4.0,,10.0,,,,06
250,2008.0,17.0,4.0,28.0,,5.0,27.0,28.0,26.0,5.0,,1.0,8.0,9.0,8.0,,2.0,4.0,,11.0,,,,06
250,2009.0,18.0,5.0,29.0,,4.0,28.0,28.0,25.0,5.0,,1.0,7.0,9.0,8.0,,1.0,4.0,1.0,12.0,,,,06
250,2010.0,20.0,4.0,29.0,,4.0,30.0,28.0,25.0,4.0,1.0,1.0,7.0,7.0,9.0,,1.0,4.0,1.0,12.0,,,,06
250,2011.0,23.0,4.0,29.0,,4.0,29.0,26.0,25.0,5.0,1.0,1.0,7.0,7.0,9.0,,1.0,4.0,1.0,12.0,,,,06
250,2012.0,25.0,4.0,30.0,,4.0,31.0,24.0,25.0,4.0,1.0,1.0,7.0,7.0,9.0,,1.0,4.0,1.0,13.0,,,,06
256,2005.0,11.0,2.0,12.0,,,18.0,16.0,14.0,7.0,2.0,,1.0,7.0,4.0,,,5.0,,3.0,,,,13
256,2006.0,12.0,2.0,10.0,,,18.0,17.0,15.0,8.0,2.0,,3.0,7.0,4.0,,,5.0,,2.0,,,,13
256,2007.0,12.0,1.0,10.0,,,19.0,15.0,16.0,10.0,2.0,,3.0,5.0,4.0,,,8.0,,3.0,,,,13
256,2008.0,12.0,2.0,10.0,,,17.0,15.0,16.0,11.0,2.0,,3.0,5.0,3.0,,,8.0,,3.0,,,,13
256,2009.0,13.0,2.0,10.0,,,16.0,14.0,15.0,11.0,2.0,,3.0,7.0,4.0,,,7.0,,4.0,,,,13
256,2010.0,14.0,2.0,11.0,,,16.0,14.0,14.0,10.0,2.0,,3.0,6.0,5.0,,,8.0,,3.0,,,,13
256,2011.0,16.0,2.0,11.0,,,16.0,11.0,14.0,9.0,2.0,,2.0,6.0,7.0,,,8.0,,2.0,,,,13
256,2012.0,16.0,2.0,12.0,,,15.0,12.0,14.0,8.0,3.0,,2.0,7.0,7.0,,,9.0,1.0,2.0,,,,13
257,2005.0,39.0,2.0,110.0,2.0,2.0,316.0,361.0,149.0,58.0,80.0,13.0,90.0,327.0,118.0,,30.0,38.0,62.0,81.0,,,,01
257,2006.0,42.0,2.0,119.0,2.0,2.0,336.0,377.0,149.0,54.0,89.0,16.0,94.0,347.0,127.0,,37.0,52.0,69.0,85.0,,,,01
257,2007.0,42.0,2.0,120.0,3.0,4.0,358.0,395.0,153.0,58.0,96.0,17.0,96.0,372.0,137.0,,38.0,54.0,76.0,91.0,1.0,,,01
257,2008.0,41.0,2.0,124.0,3.0,6.0,363.0,397.0,156.0,65.0,102.0,19.0,102.0,383.0,148.0,,38.0,60.0,81.0,99.0,1.0,,,01
257,2009.0,46.0,2.0,121.0,3.0,6.0,351.0,393.0,154.0,63.0,103.0,19.0,104.0,403.0,148.0,,40.0,64.0,77.0,101.0,1.0,,,01
257,2010.0,49.0,2.0,116.0,4.0,8.0,354.0,382.0,152.0,61.0,112.0,22.0,99.0,421.0,156.0,,44.0,63.0,76.0,99.0,1.0,,,01
257,2011.0,49.0,2.0,119.0,4.0,8.0,385.0,395.0,148.0,59.0,120.0,24.0,110.0,453.0,161.0,,51.0,71.0,80.0,106.0,1.0,,,01
257,2012.0,53.0,1.0,123.0,4.0,10.0,396.0,400.0,150.0,64.0,134.0,24.0,115.0,470.0,163.0,,53.0,72.0,86.0,116.0,1.0,,,01
