Region,Year,"A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),Children aged 0 to 14 (PT),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",Employed (PT),F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),"Inhabitants, total (PT)",J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),Others (PT),P Education (TP),Pensioners (PT),Primary production (TP),Processing (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),Services (TP),Students (PT),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),Unemployed (PT),"Workplaces, total (TP)",X Industry unknown (TP)
14,2012,3970,191,8288,18826,84,175,44632,2360,4262,1987,999,111299,343,516,213,997,777,1303,3158,2991,32501,3970,11098,6499,329,1090,22312,7479,6,0,4703,37441,2
14,2013,3921,203,7672,18694,95,182,43733,2320,4190,1902,950,110606,346,494,241,972,712,1380,2908,2772,32820,3921,10472,6634,348,1030,21972,7224,1,0,5227,36408,1
14,2014,3898,200,7679,18540,96,160,42672,2167,4171,1877,812,109709,316,456,234,936,735,1318,2794,2779,32880,3898,10302,6629,329,1016,21609,7078,1,0,5745,35875,1
14,2015,3932,173,7441,18322,90,185,41550,2190,4090,1840,847,108662,260,435,211,984,762,1007,2770,2599,33296,3932,10079,6524,338,1007,20909,6809,5,0,5915,34967,1
14,2016,3624,197,7619,18047,86,186,41393,2272,3917,1813,818,107641,260,428,193,968,707,944,2785,2490,33477,3624,10360,6503,382,976,20400,6692,1,0,5247,34449,2
14,2017,3582,185,7636,17692,87,169,41522,2237,3890,1798,876,106243,260,396,184,973,727,981,2809,2418,33652,3582,10314,6555,371,974,20403,6415,0,0,4153,34350,1
14,2018,3483,195,7915,17262,81,228,41508,2254,3867,1966,922,104809,240,399,203,960,788,935,2758,2430,33704,3483,10673,6512,362,893,20477,6106,0,0,3471,34720,23
14,2019,3445,157,6998,16798,84,235,40878,2085,3790,1820,878,103674,231,365,219,904,801,902,2723,2474,33700,3445,9559,6623,355,870,20232,6001,0,0,3574,33297,0
14,2020,3325,158,6822,16292,95,234,39587,2049,3589,1703,890,102661,217,340,192,904,772,996,2629,2487,33465,3325,9358,6956,298,833,20177,6124,0,0,4564,32908,2
14,2021,3361,152,7567,15952,95,207,40361,2122,3669,1724,939,101816,189,342,181,863,893,790,2578,2473,33623,3361,10143,6779,386,824,20052,6074,0,0,3228,33589,0
14,2022,3278,175,7560,15497,93,249,40360,2093,3569,1627,891,100606,179,343,200,890,916,742,2584,2531,33238,3278,10170,6938,403,767,19996,5694,0,0,3233,33476,0
14,2023,3197,174,7384,15092,100,241,39708,1942,3457,1581,938,99778,163,336,196,821,884,773,2791,2523,32816,3197,9841,7044,415,791,19922,5787,0,0,3584,33018,3
15,2010,2185,16,15746,24737,395,319,64473,3352,5884,2702,1537,144016,1809,1041,367,2849,1821,3008,4182,5039,33986,2185,19828,10924,807,1487,39277,11755,2,0,4880,61293,1
15,2011,2164,26,16009,24889,461,358,65667,3599,5968,2740,1716,145165,1766,989,371,2768,1997,3033,4154,5286,34366,2164,20453,11816,817,1535,40808,11429,6,0,4657,63428,0
15,2012,2128,16,15889,25075,462,381,65629,3637,6031,2670,1713,145940,1852,1038,419,2735,2234,3093,4121,5215,34770,2128,20385,12196,765,1593,41564,11455,10,0,4886,64081,1
15,2013,2156,5,15502,25345,434,383,65229,3716,5974,2651,1778,146789,1862,1027,412,2821,2144,3104,3945,5084,35135,2156,20040,12311,883,1618,41675,11234,6,0,5897,63879,0
15,2014,2106,4,15169,25523,440,388,64496,3713,5780,2440,1749,147399,1829,922,401,2934,1994,3121,3798,4932,35458,2106,19714,12205,845,1618,40800,11496,30,0,6627,62633,0
15,2015,2162,2,14901,25553,421,395,63657,3587,5698,2390,1892,147990,1818,1024,421,2871,1999,3146,4093,4886,36016,2162,19306,12256,853,1647,40941,11632,38,2,7039,62425,1
15,2016,1916,3,14398,25566,394,408,63138,3817,5643,2335,1976,147780,1747,1012,444,2852,2069,3177,3975,4807,36492,1916,19020,12091,878,1618,40686,11586,35,2,7023,61643,1
15,2017,1964,5,15077,25409,389,395,64156,3910,5597,2390,2092,147307,1732,1007,414,2929,2142,3208,4026,4799,36861,1964,19776,11952,942,1614,40858,11350,36,4,5505,62614,4
15,2018,1826,3,15515,25177,385,412,65041,3815,5410,2420,2198,147290,1657,992,398,3058,2671,3073,4148,4713,37271,1826,20130,11887,965,1603,41120,10994,73,2,4659,63090,0
15,2019,1777,7,15203,24964,403,404,64710,3851,5288,2358,2094,147212,1723,908,420,3153,2665,3048,4247,4923,37224,1777,19868,12102,897,1578,41163,11408,6,0,4659,62831,1
15,2020,1754,7,14002,24607,411,420,61368,3883,5183,2091,1724,147030,1796,917,417,3078,2798,2999,4065,4871,37359,1754,18723,11828,758,1568,40034,12130,3,3,7501,60525,0
15,2021,1750,22,15574,24373,427,399,65145,3933,5375,2158,2023,147203,2024,921,455,3334,3110,2744,4208,5205,37326,1750,20355,12574,847,1586,42363,11827,7,0,4324,64499,0
15,2022,1674,38,15965,24063,442,386,66218,3984,5556,2210,2130,147452,2031,988,471,3302,3238,2524,4304,5298,37253,1674,20815,12922,893,1636,43203,11650,4,0,3964,65722,0
15,2023,1689,38,16095,23891,457,428,66475,3760,5406,2172,2225,148632,2007,1015,403,3311,3201,2891,4470,5467,37027,1689,20778,12924,912,1713,43654,11902,7,0,4867,66150,0
16,2010,1926,22,4252,12678,271,120,28168,1669,3265,1794,653,67344,566,376,127,914,842,1006,2159,2182,16361,1926,6334,4809,360,788,17682,5327,0,0,2651,25948,0
16,2011,1906,27,4250,12710,228,122,28281,1625,3285,1808,679,67475,552,369,146,928,865,1002,1971,2241,16558,1906,6252,4945,372,796,17988,5252,0,0,2703,26160,1
16,2012,1913,25,4333,12764,215,137,28239,1570,3313,1843,667,67619,525,364,140,978,884,980,1977,2271,16684,1913,6280,5163,407,832,18367,5217,0,0,2738,26565,0
16,2013,1728,35,4295,12856,220,142,27905,1540,3310,1725,654,67715,546,365,134,921,843,1023,1856,2213,16901,1728,6232,5262,376,823,18195,5190,0,0,3007,26172,1
16,2014,1708,37,3906,12957,211,149,27549,1518,2955,1677,629,67861,577,347,130,920,849,994,1841,2118,17102,1708,5821,5372,364,778,17710,4925,0,0,3487,25252,1
16,2015,1725,41,4078,13051,213,159,27304,1500,3205,1614,602,68057,574,345,139,930,793,1056,1890,2124,17313,1725,5991,5430,370,755,17938,4914,1,0,3585,25668,0
16,2016,1582,37,4156,13030,195,156,27109,1539,3172,1628,584,68020,548,355,151,878,854,1076,1890,2085,17604,1582,6083,5427,364,749,17872,4925,1,0,3462,25544,0
16,2017,1521,51,4193,12928,177,145,27643,1647,3118,1611,633,67778,534,319,165,914,860,873,1921,2081,17807,1521,6213,5798,388,781,18076,4768,1,0,2711,25819,0
16,2018,1503,62,4284,12809,174,146,27967,1691,3218,1698,665,67459,556,301,158,927,889,866,1861,2086,17911,1503,6357,6074,358,729,18526,4562,1,0,2320,26392,0
16,2019,1423,46,4279,12688,172,156,27548,1476,3124,1564,676,67177,571,282,158,910,944,822,1818,2200,18129,1423,6129,5852,391,676,18171,4556,1,0,2409,25732,0
16,2020,1328,47,4211,12499,183,152,27038,1537,3051,1675,661,67000,604,256,153,893,896,898,1732,2225,18000,1328,6130,5926,345,686,18270,4669,1,0,3035,25746,0
16,2021,1337,36,4503,12346,169,163,27494,1571,2987,1685,748,66894,564,253,141,955,1103,729,1681,2290,18203,1337,6442,5874,336,698,18364,4751,1,0,2393,26152,0
16,2022,1300,37,4601,12115,203,169,27784,1580,3093,1644,759,66729,594,251,169,946,1139,804,1666,2326,18094,1300,6590,6223,351,694,18994,4578,1,0,2467,26897,0
16,2023,1257,48,4467,11916,200,168,27416,1624,2987,1599,771,66617,595,257,162,942,1149,824,1709,2386,18048,1257,6507,6090,329,715,18807,4679,1,0,2824,26585,1
17,2010,4734,510,21607,72315,719,641,144018,9985,13959,7317,4030,353262,4186,1820,1092,7123,5146,6210,10931,11910,72958,4734,33462,24614,1858,3607,92877,33708,5,0,19332,131127,1
17,2011,4754,639,21414,73043,646,681,146671,9849,14249,7369,4335,356160,4656,1849,1104,7673,5006,6565,10648,12287,74205,4754,33229,25261,1869,3745,95974,32583,6,0,19010,133994,5
17,2012,4716,648,20017,73661,624,747,145025,9952,14701,7119,4280,358962,4459,2020,1090,7975,4883,6371,10523,12597,75306,4716,31988,26287,1948,3776,97511,33002,5,0,21445,134269,2
17,2013,4604,576,19356,74326,569,875,143257,9817,14636,6996,4199,361759,4149,1918,1079,8130,5081,6720,9635,12551,76677,4604,31193,26465,2043,3833,97805,33139,5,0,24725,133656,1
17,2014,4371,490,19055,74613,600,693,141653,9441,14403,6896,4083,364079,4174,1902,1098,7670,5285,6703,9350,12213,77931,4371,30279,26377,2036,3785,96628,33280,3,0,27250,131321,2
17,2015,4391,443,19481,74465,596,676,141851,9804,14305,6873,4155,365726,4273,1871,1064,7584,5566,6320,9758,12234,79654,4391,31000,25930,2035,3653,95866,32991,3,0,27006,131318,0
17,2016,4067,446,19383,74078,585,715,143437,10630,14777,6714,4333,366728,4637,1904,1151,7549,5298,6516,9755,11948,81740,4067,31759,26899,2030,3653,97411,32078,2,0,25639,133293,2
17,2017,4096,506,19877,73566,570,736,147372,12033,14705,6810,4613,367709,4829,1921,1130,8096,5555,6282,9849,11991,83477,4096,33722,27330,2028,3694,98985,32027,1,0,21417,136856,0
17,2018,4063,589,20570,72356,580,764,151576,12190,14644,7149,4714,368285,5203,1943,1223,8502,5797,6312,10412,12277,84759,4063,34693,28315,2109,3673,101868,31154,7,0,18028,140674,3
17,2019,4053,499,19642,71043,570,750,151374,11706,14213,7138,4664,369593,5426,2050,1256,8267,5443,6410,10264,10961,86202,4053,33167,28548,1965,3739,100086,32029,6,0,18662,137353,1
17,2020,3960,581,19327,69970,558,749,149388,11602,14340,6856,4013,371164,5512,2101,1255,8440,5948,6883,9425,12469,86382,3960,32817,29929,1893,3629,103269,33226,1,0,22752,140101,1
17,2021,4083,723,20599,68786,550,760,154991,12219,14736,7047,4323,373175,5833,2085,1229,8988,6371,5375,9685,13340,87293,4083,34851,30852,2228,3684,106092,34162,1,0,18234,145083,1
17,2022,4066,565,21196,67373,557,885,157713,12701,14744,7019,4608,374481,6377,2159,1377,9186,6894,5044,9534,13553,87787,4066,35904,31987,2257,3704,108912,33354,3,0,18720,148946,0
17,2023,4048,576,20304,65830,631,940,156369,11489,14887,7041,4782,376216,6396,2261,1419,8765,6352,5724,9820,13721,88159,4048,33940,32381,2376,3720,109828,34308,3,0,21730,147880,6
18,2010,1646,535,2530,11425,160,150,28945,1755,2820,1392,883,76662,407,290,248,835,1406,2060,2355,1894,22802,1646,5130,4967,501,1221,18925,6125,1,0,4985,25763,1
18,2011,1629,608,2389,11183,154,169,29121,1676,2857,1339,886,75956,418,264,239,907,1294,2121,2365,2086,22848,1629,4996,5168,535,1168,19284,5847,2,0,4566,25992,2
18,2012,1600,727,2059,11088,148,162,28645,1694,3003,1394,977,75454,410,299,203,934,1223,2048,2244,2034,22983,1600,4790,5201,499,1337,19563,5586,1,0,4882,26022,0
18,2013,1565,699,1977,10962,144,176,27362,1288,2656,1274,970,74849,407,297,193,1017,1096,1971,1963,1970,23197,1565,4284,5238,546,1179,18814,5260,0,0,6078,24733,0
18,2014,1422,574,2120,10856,146,157,26744,1336,2534,1208,893,74187,396,277,205,1021,1139,1983,1834,1858,23225,1422,4333,5102,483,964,18065,5110,2,0,6386,23892,0
18,2015,1384,679,2106,10602,134,157,26555,1307,2572,1193,979,73395,418,264,199,978,1242,2009,1868,1803,23451,1384,4383,5161,483,872,18173,4980,0,0,5904,24011,0
18,2016,1360,787,2176,10481,133,109,26960,1469,2583,1182,974,72800,429,287,190,1058,1341,2023,1831,1773,23657,1360,4674,5192,503,841,18376,4858,0,0,4976,24472,0
18,2017,1305,795,2212,10308,114,123,26735,1506,2506,1197,991,71927,498,253,185,1052,1384,1995,1690,1664,23846,1305,4750,5233,535,730,18223,4737,0,0,4575,24345,0
18,2018,1329,823,2264,9997,82,119,27178,1645,2481,1168,996,70998,509,247,173,1080,1390,1990,1695,1691,23979,1329,4933,5379,508,743,18355,4479,0,0,3637,24692,0
18,2019,1331,917,2117,9841,80,146,26683,1546,2397,1141,990,70190,532,238,177,962,1398,1917,1704,1721,24035,1331,4806,5348,517,695,18035,4405,2,0,3461,24246,0
18,2020,1263,1075,2194,9562,91,145,26447,1720,2395,1056,822,69606,560,238,230,921,1298,1952,1645,1779,23707,1263,5225,5584,470,671,17977,4517,1,0,3695,24528,1
18,2021,1277,1068,2244,9431,99,150,26721,1768,2414,1019,873,69216,598,244,256,916,1508,1958,1742,1776,23642,1277,5329,5901,489,662,18615,4424,1,0,3197,25271,1
18,2022,1210,988,2288,9181,83,148,26585,1891,2390,1018,903,68543,610,244,239,976,1505,2040,1793,1845,23560,1210,5398,5664,516,634,18585,4388,1,0,2978,25252,1
18,2023,1206,1037,2229,9013,79,156,26292,1766,2336,1031,916,68149,608,259,204,967,1506,2096,1904,1842,23355,1206,5267,5596,485,660,18506,4381,0,0,3150,25053,0
19,2010,2031,359,7017,25018,598,255,61253,3835,5964,3521,2115,157253,1025,629,559,2360,2235,3853,5141,4974,41689,2031,12064,10759,1181,1431,40609,14247,3,0,9766,54913,1
19,2011,1966,328,7248,24953,578,267,61544,3980,6073,3406,2214,157066,990,635,550,2327,2135,3739,5106,5087,42151,1966,12401,10863,1116,1413,40549,13847,1,0,9316,55155,0
19,2012,1940,317,6970,24798,559,294,60907,3723,6222,3436,2380,156574,923,598,545,2257,2177,3811,4936,5064,42307,1940,11863,11291,1123,1500,41330,13413,3,0,10101,55398,3
19,2013,2017,338,6431,24721,573,292,59239,3499,6088,3395,2450,155948,876,564,561,2430,2167,3973,4440,4893,42696,2017,11133,11347,1102,1462,41312,12735,4,0,11943,54692,0
19,2014,1842,375,5840,24569,409,279,58970,3548,5885,3195,2381,155243,857,537,560,2425,2224,3851,4008,4728,42775,1842,10451,11405,1077,1512,40644,12540,7,0,12214,53232,1
19,2015,1842,365,6020,24182,480,225,58333,3350,5878,3173,2515,154546,881,534,558,2264,2387,3385,4047,4575,43430,1842,10440,11572,1150,1510,40394,12164,12,0,12215,52955,2
19,2016,1754,434,6058,23947,474,232,59034,3647,5803,3160,2636,153849,825,492,595,2289,2462,3482,3714,4344,43955,1754,10845,11786,1251,1468,40633,11877,40,0,11149,53537,0
19,2017,1706,460,6161,23710,475,232,60086,3829,5771,3185,2794,152984,824,458,627,2310,2627,3503,3697,4424,44550,1706,11157,11988,1219,1510,41275,11388,35,0,9370,54467,0
19,2018,1688,554,6295,23498,403,245,61054,4197,5849,3218,2830,152417,769,443,590,2289,2827,3465,3783,4388,45054,1688,11694,12269,1265,1475,41730,10790,53,0,8076,55414,1
19,2019,1632,614,6365,23069,400,269,61220,3846,5728,3133,2986,151331,777,437,607,2318,2841,3509,3596,4495,45051,1632,11494,12332,1201,1430,41809,10531,15,0,7682,55260,1
19,2020,1568,661,6099,22830,407,316,58396,3743,5568,2772,2220,151007,780,392,551,2304,2666,3762,3588,4591,45055,1568,11226,12696,1185,1425,40913,10881,1,0,10082,53979,0
19,2021,1545,672,5898,22580,404,295,60671,4124,5685,2904,2857,150832,800,418,560,2449,3129,3306,3728,4667,45297,1545,11393,12892,1255,1456,42380,10720,2,0,7635,55607,2
19,2022,1535,535,5800,22105,394,345,61805,4304,5838,2993,3165,149979,836,401,589,2562,3365,3434,3661,4724,45161,1535,11378,13286,1224,1456,43875,10034,2,0,7044,57079,3
19,2023,1524,652,5674,21666,396,402,62235,4027,5865,2980,3399,149958,882,414,573,2570,3471,3863,3887,4749,45074,1524,11151,13786,1279,1522,45355,10124,2,0,6833,58332,2
21,2010,252,11,609,3672,81,93,11054,654,961,3177,425,22331,483,438,50,353,232,877,1295,818,4592,252,1448,2024,282,349,10469,1374,0,0,344,12175,0
21,2011,246,13,622,3736,72,99,11343,708,1044,2944,496,22628,520,440,58,376,252,903,1217,700,4734,246,1514,2241,353,370,10697,1265,0,0,333,12467,0
21,2012,213,15,538,3760,84,95,11319,645,963,2864,444,22822,507,423,53,379,220,632,1213,466,4798,213,1377,1830,256,337,9374,1294,0,0,438,10966,0
21,2013,215,15,575,3764,82,89,11341,635,991,2734,488,23006,504,432,62,347,262,791,1212,574,4910,215,1396,1917,319,357,9778,1295,0,0,484,11391,0
21,2014,232,11,528,3823,96,66,11807,637,952,2694,495,23247,536,456,68,329,270,756,857,494,5003,232,1338,1739,246,350,9385,1224,0,0,533,10957,0
21,2015,218,10,536,3825,101,74,11797,665,942,2608,495,23293,562,453,52,307,311,620,840,534,5116,218,1386,1829,245,356,9314,1202,0,0,513,10927,0
21,2016,213,8,538,3914,99,78,11885,702,909,2483,525,23466,524,513,95,329,300,665,862,493,5186,213,1425,1842,332,384,9394,1172,0,0,447,11037,0
21,2017,222,10,528,3985,103,60,12032,716,913,2509,552,23776,529,529,106,348,285,713,826,499,5355,222,1417,1864,419,365,9631,1107,0,0,471,11275,0
21,2018,238,11,549,4083,101,55,12181,722,938,2444,550,24017,529,513,123,374,323,787,849,537,5386,238,1438,2084,402,389,9993,1073,0,0,445,11674,0
21,2019,239,10,490,4074,109,54,11924,723,852,2421,445,24090,527,519,129,411,318,725,862,589,5489,239,1386,1985,387,380,9688,1282,0,0,459,11316,0
21,2020,218,12,507,4094,105,53,11192,705,844,1398,288,24293,557,549,128,397,319,722,901,709,5549,218,1382,2122,356,352,8741,1412,0,0,1145,10344,0
21,2021,229,11,615,4095,107,54,11566,828,886,1649,432,24487,584,548,115,393,359,716,1056,738,5754,229,1615,2187,340,366,9314,1352,0,1,664,11162,0
21,2022,242,12,623,4059,111,47,11876,848,1093,2293,564,24608,594,562,132,425,387,792,982,880,5826,242,1641,2564,357,378,11026,1331,0,5,534,12911,0
21,2023,224,12,606,4021,118,48,11823,803,1056,2322,526,24756,623,594,134,392,386,813,1029,891,5940,224,1587,2671,341,373,11123,1401,0,1,542,12939,0
