region,municipality,year,"R&D expenditure (Mill. EUR) for ENTERPRISE SECTOR, TOTAL","R&D expenditure (Mill. EUR) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D expenditure (Mill. EUR) for HIGHER EDUCATION SECTOR, TOTAL",R&D expenditure (Mill. EUR) for Total,"R&D personnel (HC) for ENTERPRISE SECTOR, TOTAL","R&D personnel (HC) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D personnel (HC) for HIGHER EDUCATION SECTOR, TOTAL",R&D personnel (HC) for Total,"R&D in full-time equivalents (FTE) for ENTERPRISE SECTOR, TOTAL","R&D in full-time equivalents (FTE) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D in full-time equivalents (FTE) for HIGHER EDUCATION SECTOR, TOTAL",R&D in full-time equivalents (FTE) for Total
15,Total,2013,179.6,0.8,32.4,212.8,1100,13,727,1840,957.3,8.2,376.5,1342
16,Total,2013,12.9,3.1,...,20.9,212,41,...,353,134.1,37.7,...,224.4
17,Total,2013,667.1,51.6,133.1,851.8,5001,599,2960,8560,4042.7,525.9,1574.6,6143.2
18,Total,2013,12.5,2.9,...,25.2,235,33,...,485,114.8,34.3,...,243.6
19,Total,2013,22.4,12.3,27.1,61.8,287,181,706,1174,171.6,160.1,293.6,625.3
01,Total,2014,2035.6,398.7,586.5,3020.8,19109,5487,10684,35280,13733.5,4090.5,6087.8,23911.8
02,Total,2014,441.4,11.9,173.6,626.9,3367,227,3342,6935,2637.2,145.5,1949.4,4732.1
04,Total,2014,92.7,...,...,109.4,1001,...,...,1407,730,...,...,928.1
05,Total,2014,31.2,30.3,9.9,71.5,562,412,255,1229,296.8,398.5,114.7,810
06,Total,2014,631,35.3,166.1,832.5,5020,423,3333,8776,3994.3,356.4,1761.1,6111.7
07,Total,2014,58.1,-,11.7,71.1,748,-,256,1031,502.8,-,128.3,648.2
08,Total,2014,19.1,...,...,25.8,262,...,...,491,176,...,...,260.6
09,Total,2014,56.9,1.7,48.9,107.5,481,20,747,1247,387,18.1,465.5,870.6
10,Total,2014,17.3,...,...,42.7,271,...,...,706,156.8,...,...,439.4
11,Total,2014,48.8,24,71.2,144,652,359,1361,2372,422.8,294.9,774.5,1492.2
12,Total,2014,21.2,13,52.8,86.9,369,160,944,1473,208.9,141.7,534.2,884.9
13,Total,2014,85.5,20.1,104.9,210.5,949,257,1998,3204,655.3,198.3,1172.8,2026.4
14,Total,2014,29.9,1.9,8.1,39.8,399,24,220,642,267.5,21.3,107.4,396.2
15,Total,2014,177.5,0.6,33.4,211.5,1290,13,695,1997,1020,7.6,365.6,1393.2
16,Total,2014,11.6,...,...,20.1,176,...,...,301,128.8,...,...,218.5
