,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.6142407101833329,-0.11854947080345152,-0.012249492172507209,0.36186143067393006,0.012289080481499317,0.38287061460939353,-0.17959032491849602,0.22791168529265216,-0.5692984864189794,0.336296756809402,-0.016752149622404042,0.029460263722614562,-0.27410032707342463,-0.5858649680669956,-0.4889913053178696,0.0044573798303305006,0.08458576894427604
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.6142407101833329,1.0,-0.11649872792281474,0.28536158242595644,0.35827997875820594,0.3184495133615384,0.3867394410692551,0.08152154994881948,0.44074835551339514,-0.17051086128088977,0.25300364990583996,0.06800637109642069,0.28652989320628675,-0.24784623286212804,-0.4087479766588703,-0.30739115947689954,0.20284296413503114,-0.12871522935919685
"Gross value added (millions of euro), L Real estate activities",-0.11854947080345152,-0.11649872792281474,1.0,-0.25829536672917447,-0.301488415724576,-0.25432555482763003,-0.3792383283717589,0.5703759696362672,-0.00936820724419064,0.1520763416548671,0.2587694895132744,0.5002772671507304,0.025590450606031406,0.2923834797142098,0.5263395497878696,0.7312233237503585,0.31633022279857237,-0.3513226182587329
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",-0.012249492172507209,0.28536158242595644,-0.25829536672917447,1.0,-0.0357223952592702,0.5699809146320365,0.294935860450297,-0.12159512471064697,0.18398595977496,0.276889934293922,0.26104450261515577,-0.21090216655126362,0.43115411507585544,-0.2559731692973324,0.18784929920340596,-0.2948711106256913,-0.03312279881491426,-0.13135193785401683
"Gross value added (millions of euro), B Mining and quarrying (05-09)",0.36186143067393006,0.35827997875820594,-0.301488415724576,-0.0357223952592702,1.0,-0.20845049620501904,0.2956866224661455,-0.5819580701906105,-0.19494744142209602,-0.18358284844738226,-0.10896600771265721,-0.3278587760859932,-0.38161196194094993,0.002647696137985017,-0.46746643178924113,-0.21477786718543196,-0.37113479596368193,0.3742917348870814
"Gross value added (millions of euro), F Construction (41-43)",0.012289080481499317,0.3184495133615384,-0.25432555482763003,0.5699809146320365,-0.20845049620501904,1.0,0.09068136171915611,0.11230620286899123,0.5270216261820437,0.3259907484179435,0.2982507701210483,-0.005365526415986232,0.8110361646126832,-0.4481467977849545,0.07124627665239086,-0.3157989687740968,0.43787818716502114,-0.3764116972181369
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.38287061460939353,0.3867394410692551,-0.3792383283717589,0.294935860450297,0.2956866224661455,0.09068136171915611,1.0,-0.5021435956341378,0.09930201925902817,-0.3525530706784182,-0.12762460774835657,-0.09649146469703733,-0.11909736056766623,0.17655646809442588,-0.28132611075429487,-0.4134908675733495,-0.07448136063113983,0.1412106148748453
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.17959032491849602,0.08152154994881948,0.5703759696362672,-0.12159512471064697,-0.5819580701906105,0.11230620286899123,-0.5021435956341378,1.0,0.4293521839153512,0.1538334264543747,0.2022842769621297,0.47887833028487153,0.423797817491856,-0.14270752331578382,0.32572053140943824,0.4054313079873032,0.6415521889993129,-0.6218180857933864
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.22791168529265216,0.44074835551339514,-0.00936820724419064,0.18398595977496,-0.19494744142209602,0.5270216261820437,0.09930201925902817,0.4293521839153512,1.0,-0.15302516098914906,-0.021404435770714922,0.06253051744690226,0.7780692842536405,-0.24818652619060488,-0.08304170658051575,-0.19040136522668508,0.6424298331623135,-0.5815831147377384
"Gross value added (millions of euro), J Information and communication (58-63)",-0.5692984864189794,-0.17051086128088977,0.1520763416548671,0.276889934293922,-0.18358284844738226,0.3259907484179435,-0.3525530706784182,0.1538334264543747,-0.15302516098914906,1.0,0.3046753158660001,-0.044211492452820494,0.3328740998126393,0.02704563117707439,0.47887841309149354,0.2688717344472912,0.19031759721659502,-0.09160544083547272
"Gross value added (millions of euro), K Financial and insurance activities (64-66)",0.336296756809402,0.25300364990583996,0.2587694895132744,0.26104450261515577,-0.10896600771265721,0.2982507701210483,-0.12762460774835657,0.2022842769621297,-0.021404435770714922,0.3046753158660001,1.0,0.22273150347322979,0.3554865853750132,-0.15098361003064037,0.07303209931311169,0.0467865884691654,0.1535441916406761,-0.051065697365957466
"Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)",-0.016752149622404042,0.06800637109642069,0.5002772671507304,-0.21090216655126362,-0.3278587760859932,-0.005365526415986232,-0.09649146469703733,0.47887833028487153,0.06253051744690226,-0.044211492452820494,0.22273150347322979,1.0,0.0928968538896411,0.1956084656842962,0.42746320012588246,0.4431502755826977,0.543355884010837,-0.4569310043300582
"Gross value added (millions of euro), N Administrative and support service activities (77-82)",0.029460263722614562,0.28652989320628675,0.025590450606031406,0.43115411507585544,-0.38161196194094993,0.8110361646126832,-0.11909736056766623,0.423797817491856,0.7780692842536405,0.3328740998126393,0.3554865853750132,0.0928968538896411,1.0,-0.363557763794653,0.17928362832811504,-0.11822751292753032,0.685364348200956,-0.6318167590568802
"Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)",-0.27410032707342463,-0.24784623286212804,0.2923834797142098,-0.2559731692973324,0.002647696137985017,-0.4481467977849545,0.17655646809442588,-0.14270752331578382,-0.24818652619060488,0.02704563117707439,-0.15098361003064037,0.1956084656842962,-0.363557763794653,1.0,0.3833218368427612,0.5539611767569667,-0.09660671482002285,0.20358108423191817
"Gross value added (millions of euro), P Education (85)",-0.5858649680669956,-0.4087479766588703,0.5263395497878696,0.18784929920340596,-0.46746643178924113,0.07124627665239086,-0.28132611075429487,0.32572053140943824,-0.08304170658051575,0.47887841309149354,0.07303209931311169,0.42746320012588246,0.17928362832811504,0.3833218368427612,1.0,0.6895823710091642,0.3120511677489018,-0.40211591865951624
"Gross value added (millions of euro), Q Human health and social work activities (86-88)",-0.4889913053178696,-0.30739115947689954,0.7312233237503585,-0.2948711106256913,-0.21477786718543196,-0.3157989687740968,-0.4134908675733495,0.4054313079873032,-0.19040136522668508,0.2688717344472912,0.0467865884691654,0.4431502755826977,-0.11822751292753032,0.5539611767569667,0.6895823710091642,1.0,0.20934391232912306,-0.14410291117943985
"Gross value added (millions of euro), R, S Other service activities (90-96)",0.0044573798303305006,0.20284296413503114,0.31633022279857237,-0.03312279881491426,-0.37113479596368193,0.43787818716502114,-0.07448136063113983,0.6415521889993129,0.6424298331623135,0.19031759721659502,0.1535441916406761,0.543355884010837,0.685364348200956,-0.09660671482002285,0.3120511677489018,0.20934391232912306,1.0,-0.7942479624127233
"Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)",0.08458576894427604,-0.12871522935919685,-0.3513226182587329,-0.13135193785401683,0.3742917348870814,-0.3764116972181369,0.1412106148748453,-0.6218180857933864,-0.5815831147377384,-0.09160544083547272,-0.051065697365957466,-0.4569310043300582,-0.6318167590568802,0.20358108423191817,-0.40211591865951624,-0.14410291117943985,-0.7942479624127233,1.0
