,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.26953342802894226,-0.027325179838518898,0.5863401324696436,0.1617861430105319,-0.033183386082134045,0.07462157454537609,-0.5807498413442129,0.220227698696609,0.5272487142760118,0.3058587325795346,-0.44255594725875064,-0.5548942446400355,0.13923275754760747,0.17834589998596612,-0.07788746392441107,-0.5509417193867008,-0.48968041904098747
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.26953342802894226,1.0,-0.04862756369872803,0.20393541610709615,0.3239236622931229,-0.0038532003420597366,-0.10979382510669883,-0.2839207110740259,0.16292303791219065,0.8803477171809051,-0.14126057337782444,-0.5946834050687348,-0.13562815108688622,0.09633389932591656,0.13599316863828495,0.18424351665113894,-0.1500631953555312,-0.6056130653729817
"Gross value added (millions of euro), L Real estate activities",-0.027325179838518898,-0.04862756369872803,1.0,0.2690156203843386,0.05648302412773395,-0.11724732390670276,0.20857367084452205,-0.3267529692452934,-0.30217780339001,-0.07478099954844569,0.026790117730930627,0.17783642867491217,-0.31641106653935264,-0.19742621517670522,0.007694281894738846,-0.14848994215587039,-0.2164407447414813,0.1260996951831003
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.5863401324696436,0.20393541610709615,0.2690156203843386,1.0,0.4105725837274301,0.05930843680090127,0.2193292954623689,-0.61127322360885,0.053550038011211366,0.3398460333839125,-0.1012008613184765,-0.12349205168987333,-0.4731254679367463,-0.20959766372343008,0.23802184142773272,-0.16290520192898,-0.728872695435442,-0.3639706623819733
"Gross value added (millions of euro), B Mining and quarrying (05-09)",0.1617861430105319,0.3239236622931229,0.05648302412773395,0.4105725837274301,1.0,0.35523187848188653,0.19976959955038556,-0.5774003248230325,0.542862113001589,0.368708650266987,-0.08713231964127481,-0.4657494908264381,-0.14746457361814194,-0.4817836088632165,0.18909733884090107,-0.2985312874428113,-0.5223717194628035,-0.6678634644657139
"Gross value added (millions of euro), F Construction (41-43)",-0.033183386082134045,-0.0038532003420597366,-0.11724732390670276,0.05930843680090127,0.35523187848188653,1.0,-0.32401360844938765,0.19522227410521875,0.17316016841912796,-0.13693942861645875,-0.0014633235487992802,-0.028346522030053962,0.5412476182923642,-0.47040973585720214,0.22081276231593405,0.557216159364981,0.3073157912160974,-0.020928660724788512
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.07462157454537609,-0.10979382510669883,0.20857367084452205,0.2193292954623689,0.19976959955038556,-0.32401360844938765,1.0,-0.20008818525580283,0.31633706976135373,0.11269159694326585,0.15442127266415756,-0.04226170371988925,-0.32623972636151066,0.09695748526613371,0.37794042580435866,-0.4167872156920235,-0.2709112308628334,-0.3787201684079984
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.5807498413442129,-0.2839207110740259,-0.3267529692452934,-0.61127322360885,-0.5774003248230325,0.19522227410521875,-0.20008818525580283,1.0,-0.23067497501298048,-0.498081539443737,-0.01993452296647855,0.39917302403340793,0.7074640453732816,0.2082962139786864,-0.024403281858984504,0.4818962194120053,0.8319301710205002,0.6155752059986878
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.220227698696609,0.16292303791219065,-0.30217780339001,0.053550038011211366,0.542862113001589,0.17316016841912796,0.31633706976135373,-0.23067497501298048,1.0,0.38016954986951307,0.2878407616289721,-0.6217729427193271,-0.19194407523534873,-0.27790162174031446,0.36571367316003917,-0.26906508133392354,-0.2431924101484014,-0.6584271942541017
"Gross value added (millions of euro), J Information and communication (58-63)",0.5272487142760118,0.8803477171809051,-0.07478099954844569,0.3398460333839125,0.368708650266987,-0.13693942861645875,0.11269159694326585,-0.498081539443737,0.38016954986951307,1.0,0.008618308921258578,-0.7230993231594707,-0.4474113240635328,0.21594375088554252,0.16940344587268374,-0.020242899219929982,-0.4156350735501504,-0.7922115917551885
"Gross value added (millions of euro), K Financial and insurance activities (64-66)",0.3058587325795346,-0.14126057337782444,0.026790117730930627,-0.1012008613184765,-0.08713231964127481,-0.0014633235487992802,0.15442127266415756,-0.01993452296647855,0.2878407616289721,0.008618308921258578,1.0,-0.3850752466110587,-0.09886279542398083,0.13852057513247665,0.0752292893097526,-0.09772409311982443,0.044517071273719,0.011274517553058958
"Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)",-0.44255594725875064,-0.5946834050687348,0.17783642867491217,-0.12349205168987333,-0.4657494908264381,-0.028346522030053962,-0.04226170371988925,0.39917302403340793,-0.6217729427193271,-0.7230993231594707,-0.3850752466110587,1.0,0.39590197686189793,0.11529388722821532,-0.2695590686355331,0.22279767873965384,0.33147967416074375,0.6935228773038351
"Gross value added (millions of euro), N Administrative and support service activities (77-82)",-0.5548942446400355,-0.13562815108688622,-0.31641106653935264,-0.4731254679367463,-0.14746457361814194,0.5412476182923642,-0.32623972636151066,0.7074640453732816,-0.19194407523534873,-0.4474113240635328,-0.09886279542398083,0.39590197686189793,1.0,-0.14182072524097497,-0.15982887978046142,0.5545986371842464,0.7544933635831692,0.3787221138165013
"Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)",0.13923275754760747,0.09633389932591656,-0.19742621517670522,-0.20959766372343008,-0.4817836088632165,-0.47040973585720214,0.09695748526613371,0.2082962139786864,-0.27790162174031446,0.21594375088554252,0.13852057513247665,0.11529388722821532,-0.14182072524097497,1.0,-0.29045961992293967,0.17128359643957294,0.12878293749950145,0.15143197242985726
"Gross value added (millions of euro), P Education (85)",0.17834589998596612,0.13599316863828495,0.007694281894738846,0.23802184142773272,0.18909733884090107,0.22081276231593405,0.37794042580435866,-0.024403281858984504,0.36571367316003917,0.16940344587268374,0.0752292893097526,-0.2695590686355331,-0.15982887978046142,-0.29045961992293967,1.0,-0.09072519293073497,-0.0015332690634805792,-0.23942168840951605
"Gross value added (millions of euro), Q Human health and social work activities (86-88)",-0.07788746392441107,0.18424351665113894,-0.14848994215587039,-0.16290520192898,-0.2985312874428113,0.557216159364981,-0.4167872156920235,0.4818962194120053,-0.26906508133392354,-0.020242899219929982,-0.09772409311982443,0.22279767873965384,0.5545986371842464,0.17128359643957294,-0.09072519293073497,1.0,0.6608883488534301,0.22305955517011572
