,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.29238506569615974,0.2413811521194515,0.22774752640105939,-0.10072648383675975,0.7019526314933331,0.5111530251146161,-0.4086122668838768,0.11305648689155579,0.34895347999223336,0.20162825094087525,-0.19335566025328882,0.35397104020758247,-0.11815992503876523,0.28227900315833543,-0.2347528331010984,-0.17409641888588273,-0.08483336735357642
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.29238506569615974,1.0,0.6443694299051218,0.44096031535882557,-0.16907983388549508,0.40098599524688394,0.16817726236575564,0.33095348321291634,0.3430622806678036,0.34469075047061537,0.37270409460852727,-0.18074875290250453,0.36630957419678856,-0.11969336173619552,-0.10839057466804378,-0.1269232270691157,-0.2034906712479666,-0.2360338296504376
"Gross value added (millions of euro), L Real estate activities",0.2413811521194515,0.6443694299051218,1.0,0.33957159916328744,-0.33324515043193703,0.20622918240219099,0.2783036311971477,0.2971092581349596,0.34602895761639624,0.3010196695807655,0.5060846994149774,-0.1364564700443529,0.2781498955221009,0.2623948441098393,0.025759456733939905,-0.0038993544959567425,-0.3163706453068601,0.026303688869210716
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.22774752640105939,0.44096031535882557,0.33957159916328744,1.0,-0.4435370716369524,0.32030900561510106,0.144239854019348,-0.06070167258121017,-0.33685934637192505,0.24181678340076565,0.72410940844094,0.11691574054550338,-0.023444741279591976,0.30672327376777636,0.10095492426518649,-0.14504072408867438,-0.7377843817633754,0.1498877379340314
"Gross value added (millions of euro), B Mining and quarrying (05-09)",-0.10072648383675975,-0.16907983388549508,-0.33324515043193703,-0.4435370716369524,1.0,-0.14987914456536244,-0.1505329821138749,-0.022759870479843833,0.3447005844790369,-0.47812747714402815,-0.6031185473883196,0.1807212184037183,0.18981268892389191,0.032512690226394164,0.07149697438761893,0.4333857662225124,0.6424247380669107,-0.08271342180651135
"Gross value added (millions of euro), F Construction (41-43)",0.7019526314933331,0.40098599524688394,0.20622918240219099,0.32030900561510106,-0.14987914456536244,1.0,0.18107587308371853,-0.1627175014133885,0.20526629915941536,0.3426942495128432,0.1972122283619477,-0.2650833379164439,0.337276403481577,-0.37241626018290247,0.020509798941937524,-0.44988767004174235,-0.24964645665306762,-0.4213733859364659
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.5111530251146161,0.16817726236575564,0.2783036311971477,0.144239854019348,-0.1505329821138749,0.18107587308371853,1.0,-0.24324905046430625,0.2864681706974902,-0.07981901780424404,0.10746278476125526,0.06790060281867477,0.3745888993195034,0.2976162965342027,0.28088247580595577,0.20659722233673794,0.08794258038986104,0.345159198016548
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.4086122668838768,0.33095348321291634,0.2971092581349596,-0.06070167258121017,-0.022759870479843833,-0.1627175014133885,-0.24324905046430625,1.0,0.2658399327455932,0.15019022214849873,0.04477901059718211,0.2581287453396298,0.2369654724645242,0.044466615225812973,0.23805701129381018,0.3660849433362021,-0.019002654520617793,-0.22913265049904166
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",0.11305648689155579,0.3430622806678036,0.34602895761639624,-0.33685934637192505,0.3447005844790369,0.20526629915941536,0.2864681706974902,0.2658399327455932,1.0,-0.15350988575823718,-0.4640522853657224,0.08815879943723573,0.6278306236679807,-0.06238707197711518,0.11866381357320246,0.27691187167338416,0.5687633846093352,-0.4716309002793893
"Gross value added (millions of euro), J Information and communication (58-63)",0.34895347999223336,0.34469075047061537,0.3010196695807655,0.24181678340076565,-0.47812747714402815,0.3426942495128432,-0.07981901780424404,0.15019022214849873,-0.15350988575823718,1.0,0.3895991260548672,-0.12834327144751786,0.0009262730451092476,-0.06051103354124504,0.15431028618366707,-0.3867364085065508,-0.49311221287330376,-0.09267839024550854
"Gross value added (millions of euro), K Financial and insurance activities (64-66)",0.20162825094087525,0.37270409460852727,0.5060846994149774,0.72410940844094,-0.6031185473883196,0.1972122283619477,0.10746278476125526,0.04477901059718211,-0.4640522853657224,0.3895991260548672,1.0,-0.22978303225453714,-0.28856167876818306,0.2914901589773881,-0.016467455509146568,-0.2724840253248219,-0.8639089533741549,0.3690167133224939
"Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)",-0.19335566025328882,-0.18074875290250453,-0.1364564700443529,0.11691574054550338,0.1807212184037183,-0.2650833379164439,0.06790060281867477,0.2581287453396298,0.08815879943723573,-0.12834327144751786,-0.22978303225453714,1.0,0.32390811427565475,0.45090266669543366,0.6991732516431781,0.6455634625688932,0.09457112204391563,0.15971842735282113
"Gross value added (millions of euro), N Administrative and support service activities (77-82)",0.35397104020758247,0.36630957419678856,0.2781498955221009,-0.023444741279591976,0.18981268892389191,0.337276403481577,0.3745888993195034,0.2369654724645242,0.6278306236679807,0.0009262730451092476,-0.28856167876818306,0.32390811427565475,1.0,0.07566119494028474,0.3332773786877136,0.30346616042810615,0.30923082406312813,-0.26080382205514424
"Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)",-0.11815992503876523,-0.11969336173619552,0.2623948441098393,0.30672327376777636,0.032512690226394164,-0.37241626018290247,0.2976162965342027,0.044466615225812973,-0.06238707197711518,-0.06051103354124504,0.2914901589773881,0.45090266669543366,0.07566119494028474,1.0,0.4325569075324758,0.5211371416672209,-0.2533527368673114,0.5985243862990342
"Gross value added (millions of euro), P Education (85)",0.28227900315833543,-0.10839057466804378,0.025759456733939905,0.10095492426518649,0.07149697438761893,0.020509798941937524,0.28088247580595577,0.23805701129381018,0.11866381357320246,0.15431028618366707,-0.016467455509146568,0.6991732516431781,0.3332773786877136,0.4325569075324758,1.0,0.6568484183464484,-0.028922959288620303,0.19024611170751335
"Gross value added (millions of euro), Q Human health and social work activities (86-88)",-0.2347528331010984,-0.1269232270691157,-0.0038993544959567425,-0.14504072408867438,0.4333857662225124,-0.44988767004174235,0.20659722233673794,0.3660849433362021,0.27691187167338416,-0.3867364085065508,-0.2724840253248219,0.6455634625688932,0.30346616042810615,0.5211371416672209,0.6568484183464484,1.0,0.37865501771042415,0.32859858953092014
"Gross value added (millions of euro), R, S Other service activities (90-96)",-0.17409641888588273,-0.2034906712479666,-0.3163706453068601,-0.7377843817633754,0.6424247380669107,-0.24964645665306762,0.08794258038986104,-0.019002654520617793,0.5687633846093352,-0.49311221287330376,-0.8639089533741549,0.09457112204391563,0.30923082406312813,-0.2533527368673114,-0.028922959288620303,0.37865501771042415,1.0,-0.25663734024903045
"Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)",-0.08483336735357642,-0.2360338296504376,0.026303688869210716,0.1498877379340314,-0.08271342180651135,-0.4213733859364659,0.345159198016548,-0.22913265049904166,-0.4716309002793893,-0.09267839024550854,0.3690167133224939,0.15971842735282113,-0.26080382205514424,0.5985243862990342,0.19024611170751335,0.32859858953092014,-0.25663734024903045,1.0
